order_id,customer,product_type,quantity,arrival_date,due_date,priority,scenario
S-NOR-0001,Cisco,A,200,2025-03-16,2025-04-02,2,normal
S-NOR-0002,Nokia,D,30,2025-04-07,2025-04-23,2,normal
S-NOR-0003,廣達,B,20,2025-04-05,2025-04-29,1,normal
S-NOR-0004,Apple Inc.,A,200,2025-04-21,2025-05-04,1,normal
S-NOR-0005,緯創,A,100,2025-04-18,2025-04-30,1,normal
S-NOR-0006,緯創,C,500,2025-04-21,2025-04-29,3,normal
S-NOR-0007,Dell,A,500,2025-03-06,2025-03-23,1,normal
S-NOR-0008,緯創,B,20,2025-03-03,2025-03-24,1,normal
S-NOR-0009,廣達,D,300,2025-03-18,2025-04-05,1,normal
S-NOR-0010,緯創,A,200,2025-04-14,2025-05-01,2,normal
S-NOR-0011,Cisco,A,100,2025-03-11,2025-03-25,1,normal
S-NOR-0012,Cisco,C,200,2025-04-13,2025-04-21,1,normal
S-NOR-0013,台積電,C,1000,2025-03-18,2025-03-30,1,normal
S-NOR-0014,緯創,A,500,2025-03-26,2025-04-12,1,normal
S-NOR-0015,和碩,A,200,2025-04-17,2025-05-03,1,normal
S-NOR-0016,廣達,E,500,2025-04-02,2025-04-07,1,normal
S-NOR-0017,鴻海,B,200,2025-04-08,2025-04-30,1,normal
S-NOR-0018,Samsung,B,20,2025-04-13,2025-05-07,1,normal
S-NOR-0019,和碩,C,500,2025-03-08,2025-03-17,1,normal
S-NOR-0020,Nokia,D,120,2025-04-02,2025-04-22,1,normal
S-NOR-0021,Cisco,A,100,2025-03-10,2025-03-23,1,normal
S-NOR-0022,Dell,D,120,2025-04-01,2025-04-13,3,normal
S-NOR-0023,和碩,A,100,2025-04-26,2025-05-08,2,normal
S-NOR-0024,Samsung,C,200,2025-03-09,2025-03-21,1,normal
S-NOR-0025,Dell,D,300,2025-03-14,2025-04-04,1,normal
S-NOR-0026,Nokia,A,200,2025-03-29,2025-04-13,2,normal
S-NOR-0027,廣達,A,50,2025-04-07,2025-04-23,1,normal
S-NOR-0028,聯發科,C,100,2025-03-15,2025-03-23,1,normal
S-NOR-0029,聯發科,B,100,2025-04-12,2025-05-05,2,normal
S-NOR-0030,HP,B,50,2025-04-20,2025-05-12,1,normal
S-NOR-0031,聯發科,C,500,2025-03-28,2025-04-10,2,normal
S-NOR-0032,Cisco,E,200,2025-03-04,2025-03-11,1,normal
S-NOR-0033,聯發科,A,100,2025-04-04,2025-04-19,1,normal
S-NOR-0034,Samsung,A,50,2025-03-29,2025-04-14,2,normal
S-NOR-0035,Cisco,E,200,2025-03-06,2025-03-12,1,normal
S-NOR-0036,Samsung,B,200,2025-04-27,2025-05-19,2,normal
S-NOR-0037,Apple Inc.,A,500,2025-03-19,2025-04-05,1,normal
S-NOR-0038,Dell,C,1000,2025-03-10,2025-03-19,1,normal
S-NOR-0039,HP,C,100,2025-04-17,2025-04-25,1,normal
S-NOR-0040,Dell,D,60,2025-03-04,2025-03-20,1,normal
S-NOR-0041,聯發科,B,50,2025-03-26,2025-04-18,1,normal
S-NOR-0042,HP,A,50,2025-03-27,2025-04-12,1,normal
S-NOR-0043,和碩,A,200,2025-03-16,2025-03-29,1,normal
S-NOR-0044,和碩,B,20,2025-03-01,2025-03-24,1,normal
S-NOR-0045,聯發科,B,100,2025-03-09,2025-03-28,1,normal
S-NOR-0046,緯創,A,500,2025-04-23,2025-05-07,1,normal
S-NOR-0047,Cisco,B,100,2025-04-29,2025-05-19,1,normal
S-NOR-0048,聯發科,C,200,2025-03-18,2025-03-27,1,normal
S-NOR-0049,廣達,C,500,2025-04-02,2025-04-10,2,normal
S-NOR-0050,Apple Inc.,C,100,2025-03-01,2025-03-10,1,normal
S-NOR-0051,和碩,A,500,2025-04-05,2025-04-21,2,normal
S-NOR-0052,聯發科,D,60,2025-04-04,2025-04-16,3,normal
S-NOR-0053,HP,B,200,2025-03-09,2025-03-23,3,normal
S-NOR-0054,台積電,D,60,2025-04-13,2025-04-29,1,normal
S-NOR-0055,Dell,D,300,2025-04-09,2025-04-26,1,normal
S-NOR-0056,鴻海,D,30,2025-03-12,2025-03-30,1,normal
S-NOR-0057,Apple Inc.,C,200,2025-03-18,2025-03-31,2,normal
S-NOR-0058,台積電,D,60,2025-03-13,2025-04-01,1,normal
S-NOR-0059,廣達,A,100,2025-03-26,2025-04-07,1,normal
S-NOR-0060,和碩,A,500,2025-04-13,2025-04-29,1,normal
S-NOR-0061,台積電,A,200,2025-03-12,2025-03-26,2,normal
S-NOR-0062,HP,B,100,2025-03-28,2025-04-20,2,normal
S-NOR-0063,HP,A,50,2025-04-15,2025-05-01,1,normal
S-NOR-0064,Dell,C,200,2025-03-24,2025-04-06,1,normal
S-NOR-0065,HP,A,50,2025-04-16,2025-05-02,1,normal
S-NOR-0066,Apple Inc.,A,200,2025-04-05,2025-04-20,1,normal
S-NOR-0067,Apple Inc.,C,200,2025-04-09,2025-04-20,1,normal
S-NOR-0068,台積電,A,100,2025-03-28,2025-04-13,1,normal
S-NOR-0069,Samsung,B,50,2025-04-02,2025-04-26,1,normal
S-NOR-0070,聯發科,A,200,2025-03-06,2025-03-19,1,normal
S-NOR-0071,廣達,C,200,2025-03-02,2025-03-10,3,normal
S-NOR-0072,HP,C,100,2025-03-30,2025-04-12,1,normal
S-NOR-0073,Nokia,C,1000,2025-03-26,2025-04-08,1,normal
S-NOR-0074,聯發科,C,200,2025-03-12,2025-03-25,1,normal
S-NOR-0075,台積電,B,20,2025-03-30,2025-04-21,1,normal
S-NOR-0076,Dell,B,200,2025-04-09,2025-05-02,1,normal
S-NOR-0077,Dell,B,50,2025-04-17,2025-05-09,1,normal
S-NOR-0078,廣達,C,500,2025-04-19,2025-04-30,1,normal
S-NOR-0079,和碩,B,100,2025-03-16,2025-04-06,1,normal
S-NOR-0080,聯發科,A,100,2025-03-25,2025-04-11,1,normal
