order_id,customer,product_type,quantity,arrival_date,due_date,priority,scenario
S-OVE-0001,Cisco,A,200,2025-03-16,2025-03-30,2,overload
S-OVE-0002,Nokia,D,30,2025-04-07,2025-04-19,2,overload
S-OVE-0003,廣達,B,20,2025-04-05,2025-04-24,1,overload
S-OVE-0004,Apple Inc.,A,200,2025-03-01,2025-03-11,1,overload
S-OVE-0005,緯創,A,100,2025-03-22,2025-04-03,2,overload
S-OVE-0006,緯創,B,20,2025-03-30,2025-04-16,2,overload
S-OVE-0007,和碩,C,500,2025-04-06,2025-04-12,2,overload
S-OVE-0008,廣達,C,100,2025-03-15,2025-03-24,1,overload
S-OVE-0009,Cisco,C,200,2025-03-24,2025-04-04,1,overload
S-OVE-0010,Cisco,B,50,2025-04-04,2025-04-19,1,overload
S-OVE-0011,和碩,E,500,2025-04-13,2025-04-16,1,overload
S-OVE-0012,台積電,C,1000,2025-03-18,2025-03-25,3,overload
S-OVE-0013,Nokia,A,500,2025-03-26,2025-04-09,1,overload
S-OVE-0014,和碩,A,200,2025-04-07,2025-04-20,1,overload
S-OVE-0015,廣達,E,500,2025-04-02,2025-04-05,1,overload
S-OVE-0016,鴻海,B,200,2025-04-08,2025-04-20,3,overload
S-OVE-0017,HP,E,1000,2025-04-05,2025-04-08,1,overload
S-OVE-0018,聯發科,C,500,2025-04-11,2025-04-19,1,overload
S-OVE-0019,Samsung,A,200,2025-04-02,2025-04-15,1,overload
S-OVE-0020,Cisco,A,100,2025-03-10,2025-03-20,1,overload
S-OVE-0021,Dell,D,120,2025-04-01,2025-04-11,3,overload
S-OVE-0022,和碩,A,100,2025-04-06,2025-04-15,1,overload
S-OVE-0023,聯發科,E,500,2025-03-09,2025-03-16,1,overload
S-OVE-0024,Dell,D,300,2025-03-14,2025-03-31,1,overload
S-OVE-0025,Nokia,A,200,2025-03-29,2025-04-10,2,overload
S-OVE-0026,廣達,A,50,2025-04-07,2025-04-20,1,overload
S-OVE-0027,聯發科,C,100,2025-03-15,2025-03-18,3,overload
S-OVE-0028,緯創,A,100,2025-03-18,2025-03-28,1,overload
S-OVE-0029,Nokia,D,300,2025-03-16,2025-03-31,1,overload
S-OVE-0030,聯發科,C,500,2025-03-28,2025-04-08,2,overload
S-OVE-0031,Cisco,E,200,2025-03-04,2025-03-09,1,overload
S-OVE-0032,聯發科,A,100,2025-04-04,2025-04-16,1,overload
S-OVE-0033,Samsung,A,50,2025-03-29,2025-04-11,2,overload
S-OVE-0034,Cisco,E,200,2025-03-06,2025-03-10,1,overload
S-OVE-0035,Samsung,B,200,2025-03-04,2025-03-18,1,overload
S-OVE-0036,和碩,D,300,2025-03-19,2025-04-05,1,overload
S-OVE-0037,Dell,C,1000,2025-03-10,2025-03-17,1,overload
S-OVE-0038,HP,C,100,2025-03-21,2025-03-28,3,overload
S-OVE-0039,Samsung,B,50,2025-03-04,2025-03-18,1,overload
S-OVE-0040,聯發科,B,50,2025-03-26,2025-04-13,1,overload
S-OVE-0041,HP,A,50,2025-03-27,2025-04-09,1,overload
S-OVE-0042,和碩,A,200,2025-03-16,2025-03-26,1,overload
S-OVE-0043,和碩,B,20,2025-03-01,2025-03-19,1,overload
S-OVE-0044,聯發科,B,100,2025-03-09,2025-03-23,1,overload
S-OVE-0045,緯創,A,500,2025-04-04,2025-04-17,1,overload
S-OVE-0046,Cisco,B,100,2025-04-12,2025-04-27,1,overload
S-OVE-0047,聯發科,C,200,2025-03-18,2025-03-25,1,overload
S-OVE-0048,廣達,C,500,2025-04-02,2025-04-08,2,overload
S-OVE-0049,Apple Inc.,C,100,2025-03-01,2025-03-08,1,overload
S-OVE-0050,和碩,A,500,2025-04-05,2025-04-18,2,overload
S-OVE-0051,聯發科,D,60,2025-04-04,2025-04-14,3,overload
S-OVE-0052,HP,B,200,2025-03-09,2025-03-20,3,overload
S-OVE-0053,台積電,D,60,2025-04-13,2025-04-25,1,overload
S-OVE-0054,Dell,D,300,2025-04-09,2025-04-22,1,overload
S-OVE-0055,鴻海,D,30,2025-03-12,2025-03-26,1,overload
S-OVE-0056,Apple Inc.,C,200,2025-03-18,2025-03-29,2,overload
S-OVE-0057,台積電,D,60,2025-03-13,2025-03-28,1,overload
S-OVE-0058,廣達,A,100,2025-03-26,2025-04-04,1,overload
S-OVE-0059,和碩,A,500,2025-04-13,2025-04-26,1,overload
S-OVE-0060,台積電,A,200,2025-03-12,2025-03-23,2,overload
S-OVE-0061,HP,B,100,2025-03-28,2025-04-15,2,overload
S-OVE-0062,HP,A,50,2025-03-28,2025-04-06,3,overload
S-OVE-0063,Cisco,C,200,2025-03-24,2025-04-04,1,overload
S-OVE-0064,HP,A,50,2025-03-20,2025-04-03,1,overload
S-OVE-0065,Apple Inc.,C,200,2025-03-13,2025-03-22,1,overload
S-OVE-0066,鴻海,B,100,2025-03-26,2025-04-09,1,overload
S-OVE-0067,廣達,B,100,2025-03-30,2025-04-18,1,overload
S-OVE-0068,Samsung,C,200,2025-04-12,2025-04-19,3,overload
S-OVE-0069,Cisco,B,100,2025-03-06,2025-03-21,1,overload
S-OVE-0070,廣達,C,200,2025-03-02,2025-03-08,3,overload
S-OVE-0071,HP,C,100,2025-03-30,2025-04-10,1,overload
S-OVE-0072,Nokia,C,1000,2025-03-26,2025-04-06,1,overload
S-OVE-0073,聯發科,C,200,2025-03-12,2025-03-23,1,overload
S-OVE-0074,台積電,B,20,2025-03-30,2025-04-16,1,overload
S-OVE-0075,Dell,B,200,2025-04-09,2025-04-27,1,overload
S-OVE-0076,Dell,B,50,2025-03-31,2025-04-15,1,overload
S-OVE-0077,和碩,C,1000,2025-04-10,2025-04-19,2,overload
S-OVE-0078,和碩,A,200,2025-03-21,2025-03-30,2,overload
S-OVE-0079,廣達,A,100,2025-03-14,2025-03-22,3,overload
S-OVE-0080,緯創,B,200,2025-03-04,2025-03-21,1,overload
S-OVE-0081,HP,D,30,2025-04-06,2025-04-18,1,overload
S-OVE-0082,和碩,C,1000,2025-04-04,2025-04-14,1,overload
S-OVE-0083,廣達,B,100,2025-03-28,2025-04-14,1,overload
S-OVE-0084,Cisco,C,200,2025-03-30,2025-04-09,1,overload
S-OVE-0085,Apple Inc.,B,20,2025-03-06,2025-03-21,1,overload
S-OVE-0086,鴻海,A,500,2025-03-21,2025-04-01,1,overload
S-OVE-0087,Apple Inc.,A,500,2025-03-17,2025-03-29,2,overload
S-OVE-0088,Dell,A,200,2025-03-15,2025-03-29,2,overload
S-OVE-0089,台積電,D,60,2025-03-02,2025-03-15,2,overload
S-OVE-0090,Cisco,A,100,2025-03-30,2025-04-10,1,overload
S-OVE-0091,HP,E,200,2025-03-11,2025-03-14,1,overload
S-OVE-0092,和碩,B,200,2025-03-26,2025-04-10,2,overload
