order_id,customer,product_type,quantity,arrival_date,due_date,priority,scenario
S-RUS-0001,Cisco,A,200,2025-03-08,2025-03-16,3,rush
S-RUS-0002,聯發科,C,100,2025-03-19,2025-03-23,2,rush
S-RUS-0003,廣達,B,20,2025-03-18,2025-03-29,3,rush
S-RUS-0004,Nokia,B,50,2025-03-15,2025-03-25,1,rush
S-RUS-0005,鴻海,C,500,2025-03-09,2025-03-13,3,rush
S-RUS-0006,聯發科,A,50,2025-03-12,2025-03-22,1,rush
S-RUS-0007,台積電,C,100,2025-03-30,2025-04-07,1,rush
S-RUS-0008,Cisco,B,100,2025-03-19,2025-03-25,3,rush
S-RUS-0009,台積電,C,500,2025-03-03,2025-03-07,1,rush
S-RUS-0010,Samsung,B,100,2025-03-06,2025-03-17,1,rush
S-RUS-0011,Nokia,D,30,2025-03-20,2025-04-01,1,rush
S-RUS-0012,鴻海,B,100,2025-03-30,2025-04-13,1,rush
S-RUS-0013,緯創,C,100,2025-03-08,2025-03-14,1,rush
S-RUS-0014,聯發科,A,200,2025-03-07,2025-03-16,1,rush
S-RUS-0015,Cisco,B,100,2025-03-05,2025-03-15,3,rush
S-RUS-0016,Dell,A,500,2025-03-29,2025-04-06,1,rush
S-RUS-0017,鴻海,B,20,2025-03-25,2025-03-31,3,rush
S-RUS-0018,鴻海,B,200,2025-03-20,2025-03-29,3,rush
S-RUS-0019,HP,E,1000,2025-03-18,2025-03-21,1,rush
S-RUS-0020,聯發科,C,500,2025-03-25,2025-03-29,1,rush
S-RUS-0021,鴻海,B,100,2025-03-17,2025-03-31,1,rush
S-RUS-0022,Cisco,A,100,2025-03-05,2025-03-12,1,rush
S-RUS-0023,Dell,D,120,2025-03-16,2025-03-23,3,rush
S-RUS-0024,和碩,A,100,2025-03-29,2025-04-04,2,rush
S-RUS-0025,Samsung,C,200,2025-03-05,2025-03-13,1,rush
S-RUS-0026,Dell,D,300,2025-03-07,2025-03-20,1,rush
S-RUS-0027,Nokia,A,200,2025-03-15,2025-03-24,2,rush
S-RUS-0028,廣達,A,50,2025-03-19,2025-03-29,1,rush
S-RUS-0029,聯發科,C,100,2025-03-08,2025-03-11,3,rush
S-RUS-0030,緯創,A,100,2025-03-09,2025-03-16,1,rush
S-RUS-0031,Nokia,D,300,2025-03-08,2025-03-19,1,rush
S-RUS-0032,聯發科,C,500,2025-03-14,2025-03-23,2,rush
S-RUS-0033,Cisco,E,200,2025-03-02,2025-03-06,1,rush
S-RUS-0034,聯發科,A,100,2025-03-18,2025-03-27,1,rush
S-RUS-0035,Samsung,A,50,2025-03-15,2025-03-25,2,rush
S-RUS-0036,Cisco,E,200,2025-03-03,2025-03-06,1,rush
S-RUS-0037,Samsung,B,200,2025-03-29,2025-04-07,3,rush
S-RUS-0038,台積電,E,1000,2025-03-30,2025-04-04,1,rush
S-RUS-0039,Nokia,E,2000,2025-03-05,2025-03-08,3,rush
S-RUS-0040,台積電,B,20,2025-03-24,2025-04-03,1,rush
S-RUS-0041,Dell,D,60,2025-03-02,2025-03-10,1,rush
S-RUS-0042,聯發科,B,50,2025-03-13,2025-03-23,3,rush
S-RUS-0043,廣達,B,20,2025-03-20,2025-03-31,3,rush
S-RUS-0044,HP,B,100,2025-03-30,2025-04-10,3,rush
S-RUS-0045,Nokia,A,200,2025-03-13,2025-03-21,3,rush
S-RUS-0046,和碩,B,20,2025-03-01,2025-03-15,1,rush
S-RUS-0047,聯發科,B,100,2025-03-05,2025-03-15,1,rush
S-RUS-0048,緯創,A,500,2025-03-27,2025-04-04,1,rush
S-RUS-0049,Cisco,B,100,2025-03-30,2025-04-10,1,rush
S-RUS-0050,聯發科,C,200,2025-03-09,2025-03-12,3,rush
S-RUS-0051,Nokia,A,200,2025-03-17,2025-03-23,2,rush
S-RUS-0052,Apple Inc.,C,100,2025-03-01,2025-03-06,1,rush
S-RUS-0053,和碩,A,500,2025-03-18,2025-03-28,2,rush
S-RUS-0054,聯發科,D,60,2025-03-18,2025-03-25,3,rush
S-RUS-0055,HP,B,200,2025-03-05,2025-03-13,3,rush
S-RUS-0056,台積電,D,60,2025-03-22,2025-03-27,3,rush
S-RUS-0057,緯創,C,1000,2025-03-20,2025-03-25,1,rush
S-RUS-0058,鴻海,D,30,2025-03-06,2025-03-16,1,rush
S-RUS-0059,Apple Inc.,C,200,2025-03-09,2025-03-16,3,rush
S-RUS-0060,聯發科,A,50,2025-03-28,2025-04-04,1,rush
